,coin_name,max_price_in_45_day
103,ETC,20.812599999999999766941982670687139034271240234375
104,ETH,2944.36000000000012732925824820995330810546875
105,ETHFI,1.7680000000000000159872115546022541821002960205078125
106,ETHW,3.909199999999999786126636536209844052791595458984375
107,FDUSD,1.001700000000000034816594052244909107685089111328125
108,FET,1.697599999999999997868371792719699442386627197265625
109,FIDA,0.230300000000000004707345624410663731396198272705078125
110,FIL,4.2400000000000002131628207280300557613372802734375
111,FIS,0.324099999999999999200639422269887290894985198974609375
112,FLOKI,0.00016964000000000000888296380896491655221325345337390899658203125
113,FLOW,0.64429999999999998383515276145772077143192291259765625
114,FLR,0.0170800000000000014310774787418267806060612201690673828125
115,FLUX,0.54149999999999998134825318629737012088298797607421875
116,FLZ,4.83499999999999996447286321199499070644378662109375
